Fortis Escorts Okhla,07947163832,4.3,7482,"Okhla Road, Sukhdev Vihar, Delhi - 110025, Near Holy Family Hospital & New Friends Colony",
Helpnow Delhi Ambulance Ser..,+(91)-8822288222,3.8,12,"Delhi Ho, Delhi Cantt, Delhi - 110010",
Max Super Speciality Hospit..,07947066851,4.1,8434,"W-3, Vaishali Sector 1, Ghaziabad - 201010, Near Radisson Hotel, Dabur Chowk",
